k	WC	LB	
1.0000e+00	1.2312e-01	1.3991e-02	
2.0000e+00	5.9732e-02	1.1333e-02	
3.0000e+00	3.5447e-02	9.1794e-03	
4.0000e+00	2.3320e-02	7.4353e-03	
5.0000e+00	1.6334e-02	6.0226e-03	
6.0000e+00	1.1928e-02	4.8783e-03	
7.0000e+00	8.9677e-03	3.9514e-03	
8.0000e+00	6.8865e-03	3.2007e-03	
9.0000e+00	5.3717e-03	2.5925e-03	
1.0000e+01	4.2394e-03	2.1000e-03	
1.1000e+01	3.3753e-03	1.7010e-03	
1.2000e+01	2.7051e-03	1.3778e-03	
1.3000e+01	2.1786e-03	1.1160e-03	
1.4000e+01	1.7610e-03	9.0396e-04	
1.5000e+01	1.4270e-03	7.3221e-04	
1.6000e+01	1.1585e-03	5.9309e-04	
1.7000e+01	9.4165e-04	4.8040e-04	
1.8000e+01	7.6592e-04	3.8913e-04	
1.9000e+01	6.2322e-04	3.1519e-04	
2.0000e+01	5.0717e-04	2.5531e-04	
2.1000e+01	4.1269e-04	2.0680e-04	
2.2000e+01	3.3575e-04	1.6751e-04	
2.3000e+01	2.7308e-04	1.3568e-04	
2.4000e+01	2.2203e-04	1.0990e-04	
2.5000e+01	1.8047e-04	8.9020e-05	
2.6000e+01	1.4665e-04	7.2106e-05	
2.7000e+01	1.1912e-04	5.8406e-05	
2.8000e+01	9.6704e-05	4.7309e-05	
2.9000e+01	7.8498e-05	3.8320e-05	
3.0000e+01	6.3701e-05	3.1039e-05	
3.1000e+01	5.1681e-05	2.5142e-05	
3.2000e+01	4.1921e-05	2.0365e-05	
3.3000e+01	3.3996e-05	1.6496e-05	
3.4000e+01	2.7567e-05	1.3361e-05	
3.5000e+01	2.2347e-05	1.0823e-05	
3.6000e+01	1.8115e-05	8.7664e-06	
3.7000e+01	1.4682e-05	7.1008e-06	
3.8000e+01	1.1899e-05	5.7516e-06	
3.9000e+01	9.6442e-06	4.6588e-06	
4.0000e+01	7.8160e-06	3.7737e-06	
4.1000e+01	6.3310e-06	3.0567e-06	
4.2000e+01	5.1295e-06	2.4759e-06	
4.3000e+01	4.1560e-06	2.0055e-06	
4.4000e+01	3.3674e-06	1.6244e-06	
4.5000e+01	2.7287e-06	1.3158e-06	
4.6000e+01	2.2146e-06	1.0658e-06	
4.7000e+01	1.7970e-06	8.6329e-07	
4.8000e+01	1.4514e-06	6.9927e-07	
4.9000e+01	1.1746e-06	5.6640e-07	
5.0000e+01	9.5160e-07	4.5879e-07	
