stepsize	distance	function	gradient	dist_dualval1	dist_dualval2	func_dualval1	func_dualval2	func_dualval3	func_dualval4	func_dualval5	func_dualval6	grad_dualval1	grad_dualval2	
-1.0000e+00	4.0000e+00	4.0000e+00	4.0000e+00	4.0001e+00	4.0001e+00	3.0001e+00	7.0256e-05	8.4228e-05	1.6175e-04	3.9156e-05	1.0002e+00	4.0001e+00	4.0001e+00	
-9.5960e-01	3.8400e+00	3.8400e+00	3.8400e+00	3.7609e+00	3.7609e+00	2.8401e+00	6.8586e-05	7.8353e-05	1.6124e-04	3.7095e-05	1.0002e+00	4.0843e+00	4.0843e+00	
-9.1919e-01	3.6833e+00	3.6833e+00	3.6833e+00	3.5285e+00	3.5285e+00	2.6833e+00	6.7231e-05	7.3036e-05	1.6176e-04	3.5305e-05	1.0002e+00	4.1760e+00	4.1760e+00	
-8.7879e-01	3.5298e+00	3.5298e+00	3.5298e+00	3.3021e+00	3.3021e+00	2.5299e+00	6.5952e-05	6.7988e-05	1.6258e-04	3.3593e-05	1.0002e+00	4.2760e+00	4.2760e+00	
-8.3838e-01	3.3797e+00	3.3797e+00	3.3797e+00	3.0827e+00	3.0827e+00	2.3797e+00	6.4702e-05	6.3148e-05	1.6356e-04	3.1917e-05	1.0002e+00	4.3857e+00	4.3857e+00	
-7.9798e-01	3.2327e+00	3.2327e+00	3.2327e+00	2.8695e+00	2.8695e+00	2.2328e+00	6.3493e-05	5.8531e-05	1.6476e-04	3.0277e-05	1.0002e+00	4.5065e+00	4.5065e+00	
-7.5758e-01	3.0891e+00	3.0891e+00	3.0891e+00	2.6630e+00	2.6630e+00	2.0891e+00	6.2305e-05	5.4083e-05	1.6605e-04	2.8663e-05	1.0002e+00	4.6402e+00	4.6402e+00	
-7.1717e-01	2.9487e+00	2.9487e+00	2.9487e+00	2.4630e+00	2.4630e+00	1.9487e+00	6.1150e-05	4.9806e-05	1.6741e-04	2.7074e-05	1.0002e+00	4.7888e+00	4.7888e+00	
-6.7677e-01	2.8115e+00	2.8115e+00	2.8115e+00	2.2696e+00	2.2696e+00	1.8116e+00	6.0039e-05	4.5696e-05	1.6879e-04	2.5508e-05	1.0002e+00	4.9561e+00	4.9561e+00	
-6.3636e-01	2.6777e+00	2.6777e+00	2.6777e+00	2.0827e+00	2.0827e+00	1.6777e+00	5.8930e-05	4.1625e-05	1.6857e-04	2.3902e-05	1.0002e+00	5.1428e+00	5.1428e+00	
-5.9596e-01	2.5471e+00	2.5471e+00	2.5471e+00	1.9023e+00	1.9023e+00	1.5471e+00	6.2042e-05	3.9318e-05	1.7765e-04	2.3473e-05	1.0002e+00	5.3559e+00	5.3559e+00	
-5.5556e-01	2.4198e+00	2.4198e+00	2.4198e+00	1.7284e+00	1.7284e+00	1.4198e+00	4.2585e-05	2.5647e-05	1.2595e-04	1.5622e-05	1.0002e+00	5.5999e+00	5.5999e+00	
-5.1515e-01	2.2957e+00	2.2957e+00	2.2957e+00	1.5611e+00	1.5611e+00	1.2957e+00	4.1990e-05	2.3349e-05	1.2930e-04	1.4616e-05	1.0002e+00	5.8823e+00	5.8823e+00	
-4.7475e-01	2.1749e+00	2.1749e+00	2.1749e+00	1.4003e+00	1.4003e+00	1.1749e+00	4.1465e-05	2.1180e-05	1.3354e-04	1.3665e-05	1.0002e+00	6.2127e+00	6.2127e+00	
-4.3434e-01	2.0573e+00	2.0573e+00	2.0573e+00	1.2461e+00	1.2461e+00	1.0573e+00	4.0712e-05	1.8996e-05	1.3772e-04	1.2655e-05	1.0002e+00	6.6048e+00	6.6048e+00	
-3.9394e-01	1.9431e+00	1.9431e+00	1.9431e+00	1.0983e+00	1.0983e+00	9.4305e-01	5.6336e-05	2.3326e-05	1.9939e-04	1.6095e-05	1.0002e+00	7.0785e+00	7.0785e+00	
-3.5354e-01	1.8321e+00	1.8321e+00	1.8321e+00	9.5709e-01	9.5709e-01	8.3204e-01	5.2388e-05	2.0079e-05	2.0030e-04	1.4182e-05	1.0002e+00	7.6592e+00	7.6592e+00	
-3.1313e-01	1.7243e+00	1.7243e+00	1.7243e+00	8.2235e-01	8.2235e-01	7.2429e-01	5.1800e-05	1.8051e-05	2.1980e-04	1.3093e-05	1.0003e+00	8.3876e+00	8.3876e+00	
-2.7273e-01	1.6198e+00	1.6198e+00	1.6198e+00	6.9416e-01	6.9416e-01	6.1981e-01	5.0899e-05	1.5939e-05	2.4268e-04	1.1878e-05	1.0003e+00	9.3339e+00	9.3339e+00	
-2.3232e-01	1.5186e+00	1.5186e+00	1.5186e+00	5.7256e-01	5.7256e-01	5.1858e-01	7.5618e-05	2.0901e-05	4.0803e-04	1.5931e-05	1.0005e+00	1.0609e+01	1.0609e+01	
-1.9192e-01	1.4207e+00	1.4207e+00	1.4207e+00	4.5745e-01	4.5745e-01	4.2063e-01	7.7502e-05	1.8540e-05	4.8435e-04	1.4562e-05	1.0005e+00	1.2421e+01	1.2421e+01	
-1.5152e-01	1.3260e+00	1.3260e+00	1.3260e+00	3.4902e-01	3.4902e-01	3.2594e-01	7.7464e-05	1.6210e-05	6.2044e-04	1.3089e-05	1.0007e+00	1.5200e+01	1.5200e+01	
-1.1111e-01	1.2346e+00	1.2346e+00	1.2346e+00	2.4691e-01	2.4691e-01	2.3452e-01	7.2536e-05	1.2890e-05	8.0148e-04	1.0733e-05	1.0009e+00	2.0001e+01	2.0001e+01	
-7.0707e-02	1.1464e+00	1.1464e+00	1.1464e+00	1.5139e-01	1.5139e-01	1.4636e-01	7.0352e-05	9.9952e-06	1.2188e-03	8.5267e-06	1.0013e+00	3.0288e+01	3.0288e+01	
-3.0303e-02	1.0615e+00	1.0615e+00	1.0615e+00	6.2424e-02	6.2424e-02	6.1479e-02	5.3817e-05	4.3166e-06	1.7953e-03	3.8547e-06	1.0018e+00	6.7996e+01	6.7996e+01	
1.0101e-02	9.9798e-01	9.9798e-01	9.9798e-01	2.0177e-02	2.0177e-02	2.1701e-06	3.0126e-06	6.1258e-04	3.9192e-01	1.4118e-03	1.3905e+00	1.9795e+02	1.9795e+02	
5.0505e-02	9.8992e-01	9.8992e-01	9.8992e-01	1.0050e-01	1.0050e-01	1.0726e-05	1.2736e-05	2.8336e-03	4.3769e-01	7.2655e-03	1.4304e+00	3.9396e+01	3.9396e+01	
9.0909e-02	9.8190e-01	9.8190e-01	9.8190e-01	1.8017e-01	1.8017e-01	1.0312e-05	1.3048e-05	4.8994e-03	4.5277e-01	1.3223e-02	1.4396e+00	2.1804e+01	2.1804e+01	
1.3131e-01	9.7391e-01	9.7391e-01	9.7391e-01	2.5919e-01	2.5919e-01	2.0009e-05	2.5057e-05	6.9379e-03	4.5968e-01	1.9198e-02	1.4405e+00	1.5031e+01	1.5031e+01	
1.7172e-01	9.6595e-01	9.6595e-01	9.6595e-01	3.3755e-01	3.3755e-01	2.1186e-05	2.5306e-05	8.8316e-03	4.6914e-01	2.5264e-02	1.4439e+00	1.1452e+01	1.1452e+01	
2.1212e-01	9.5803e-01	9.5803e-01	9.5803e-01	4.1526e-01	4.1526e-01	2.3280e-05	2.6176e-05	1.0658e-02	4.7694e-01	3.1366e-02	1.4456e+00	9.2285e+00	9.2285e+00	
2.5253e-01	9.5013e-01	9.5013e-01	9.5013e-01	4.9231e-01	4.9231e-01	2.5400e-05	2.7627e-05	1.2456e-02	4.8212e-01	3.7465e-02	1.4447e+00	7.7200e+00	7.7200e+00	
2.9293e-01	9.4227e-01	9.4227e-01	9.4227e-01	5.6871e-01	5.6871e-01	2.4056e-05	2.5710e-05	1.4243e-02	4.8490e-01	4.3534e-02	1.4414e+00	6.6279e+00	6.6279e+00	
3.3333e-01	9.3444e-01	9.3444e-01	9.3444e-01	6.4445e-01	6.4445e-01	2.4623e-05	2.6234e-05	1.6076e-02	4.8469e-01	4.9530e-02	1.4352e+00	5.8002e+00	5.8002e+00	
3.7374e-01	9.2665e-01	9.2665e-01	9.2665e-01	7.1958e-01	7.1958e-01	3.4571e-05	3.7984e-05	1.7876e-02	4.8484e-01	5.5548e-02	1.4293e+00	5.1514e+00	5.1514e+00	
